Name,Type,Attunement,Price,Source,Damage,Description
Quiver of Elemental Chaos (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Quiver of Elemental Chaos is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Realmswarden Greataxe (Legendary),Weapon (greataxe),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Realmswarden Greataxe is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Red Claws Regalia (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Red Claws Regalia is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Red Queen's Burden (Legendary),Weapon (glaive),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Red Queen's Burden is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Red Rider's Blade (Legendary),Weapon (greatsword),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Red Rider's Blade is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Rejuvenating Draft (Legendary),Potion,No,"100,000 GP",GSB,-,"Rejuvenating Draft is a legendary consumable magic item that produces a powerful temporary restorative, transformative, protective, or spell-like effect when used."
Reliquary of Holy Memories (Legendary),Rod,"Yes-Cleric, Paladin","200,000 GP",GSB,Radiant,"Reliquary of Holy Memories is a legendary magical rod with a potent activated utility, control, defensive, or combat effect."
Ring of Djinni Summoning (Legendary),Ring,Attunement,"200,000 GP",DMG,Varies,"While wearing this ring, the attuned user can summon a specific djinni from the Elemental Plane of Air. The djinni appears nearby, obeys commands for a limited time, and cannot be summoned again until the ring recharges."
Ring of Elemental Command (Legendary),Ring,Attunement,"200,000 GP",DMG,Varies,"This ring is tied to one elemental plane and grants related powers. It can influence or control elementals of that type, provides defensive benefits, and unlocks additional spells and abilities after the wearer helps defeat an elemental of the associated kind."
Ring of Invisibility (Legendary),Ring,Attunement,"200,000 GP",DMG,-,"While wearing this ring, the user can become invisible as an action. The invisibility lasts until the ring is removed, the wearer attacks or casts a spell, or the wearer ends the effect."
Ring of Spell Turning (Legendary),Ring,Attunement,"200,000 GP",DMG,-,"This ring grants advantage on saving throws against spells that target only the wearer. When the wearer rolls especially well on such a save, the spell can be reflected back at its caster."
Ring of the Assassin Lord (Legendary),Ring,Yes-Rogue,"200,000 GP",GSB,-,Ring of the Assassin Lord is a legendary magical ring that grants a powerful passive benefit or limited supernatural ability while worn.
Ring of the Golden Directorate (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,Ring of the Golden Directorate is a legendary magical ring that grants a powerful passive benefit or limited supernatural ability while worn.
Ring of Three Wishes (Legendary),Ring,-,"100,000 GP",DMG,Varies,"This ring contains three charges. While wearing it, the user can expend a charge to cast wish; the ring becomes nonmagical when the last charge is used."
Rings of Spell Sharing (Legendary),Ring,Yes-Spellcaster,"200,000 GP",GSB,-,Rings of Spell Sharing is a legendary magical ring that grants a powerful passive benefit or limited supernatural ability while worn.
Robe of the Archmagi (Legendary),Wondrous Item,Attunement,"200,000 GP",DMG,-,"This robe grants a high base Armor Class while unarmored, advantage on saving throws against spells and magical effects, and a bonus to spell attack rolls and spell save DC. Its alignment must match the wearer."
Rod of Lordly Might (Legendary),Rod,Attunement,"200,000 GP",DMG,Weapon's normal damage,"This +3 rod can transform into several different weapons and useful forms. It also has powerful limited-use abilities that can drain life, paralyze a target, or terrify nearby enemies."
Rod of Resurrection (Legendary),Rod,Attunement,"200,000 GP",DMG,-,This rod contains charges that can cast powerful healing magic and resurrection magic. Using its strongest resurrection effect risks destroying the rod.
Rose of the Queen Valkyrie (Legendary),Weapon (spear),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Rose of the Queen Valkyrie is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Royal Incinerator (Legendary),Staff,"Yes-Druid, Sorcerer, Warlock, Wizard","200,000 GP",GSB,-,Royal Incinerator is a legendary magical staff that serves as a weapon or focus and carries one or more powerful magical abilities.
Scarab of Protection (Legendary),Wondrous Item,Attunement,"200,000 GP",DMG,-,This scarab grants advantage on saving throws against spells and has limited charges that can completely negate certain harmful necromancy and undead effects before losing its magic.
Scroll of the Eclipse (Legendary),Scroll,No,"100,000 GP",GSB,-,"Scroll of the Eclipse is a legendary consumable magic item that produces a powerful temporary restorative, transformative, protective, or spell-like effect when used."
Scroll of Titan Summoning (Legendary),Scroll,-,"100,000 GP",DMG,Varies,Reading this powerful scroll summons a titan-like creature or similarly overwhelming ally according to the scroll's specific rules. The scroll is consumed when its magic is successfully used.
Seed of Rebirth (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Seed of Rebirth is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
"Shaarat'doovol, the Blade of Truth (Legendary)",Weapon,Attunement,"200,000 GP",EB,Weapon's normal damage,"Shaarat'doovol, the Blade of Truth is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Shade and Shine (Legendary),Weapon (handaxe),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Shade and Shine is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Shadowscale Shroud (Legendary),Armor (scale mail),Yes,"B+200,000 GP",GSB,Necrotic,"Shadowscale Shroud is a legendary magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Shadowscale Shroud Armor (Legendary),Armor (scale mail),Yes,"B+200,000 GP",GSB,Necrotic,"Shadowscale Shroud Armor is a legendary magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Shield of the Unmarked Grave (Legendary),Armor (shield),Yes,"B+200,000 GP",GSB,Necrotic,"Shield of the Unmarked Grave is a legendary magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Skylit Greaves (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Skylit Greaves is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Slaying Longbow (Legendary),Weapon (longbow),No,"B+200,000 GP",GSB,Weapon's normal damage,"Slaying Longbow is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Smog Baron's Greatcoat (Legendary),Wondrous item,Yes,"200,000 GP",GSB,-,"Smog Baron's Greatcoat is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Soul-Searing Scythe (Legendary),Weapon (halberd),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Soul-Searing Scythe is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Sovereign Glue (Legendary),Wondrous Item,-,"100,000 GP",DMG,-,"This adhesive permanently bonds objects together after it cures. The bond is extraordinarily difficult to break and normally requires universal solvent, oil of etherealness, or similarly powerful magic."
Sovereignseed Duffel (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Sovereignseed Duffel is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Spell Scroll (Legendary),Scroll,-,Varies,DMG,Varies,"This scroll contains a single spell. A creature with that spell on its class spell list can attempt to cast it from the scroll, using the scroll's fixed spell attack bonus and save DC; the writing disappears after a successful casting."
Spellfire Bow (Legendary),Weapon (longbow),Yes-Spellcaster,"B+200,000 GP",GSB,Fire + weapon's normal damage,"Spellfire Bow is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Sphere of Annihilation (Legendary),Wondrous Item,-,"200,000 GP",DMG,Force,"This 2-foot sphere of absolute darkness annihilates matter that passes through it, dealing severe force damage to creatures it contacts. A creature can attempt to control and move it through force of will, with interference making control harder."
Spire Seed (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Spire Seed is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Spirit Cleaver (Legendary),Weapon (dagger),Yes-Rogue,"B+200,000 GP",GSB,Weapon's normal damage,"Spirit Cleaver is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Sprig of Yggdrasil (Legendary),Rod,"Yes-Cleric, Druid","200,000 GP",GSB,-,"Sprig of Yggdrasil is a legendary magical rod with a potent activated utility, control, defensive, or combat effect."
Staff of the Arcanum (Legendary),Staff,Yes-Wizard,"200,000 GP",GSB,-,Staff of the Arcanum is a legendary magical staff that serves as a weapon or focus and carries one or more powerful magical abilities.
Staff of the Ferryman (Legendary),Staff,"Yes-Cleric, Druid, Warlock, or Wizard","200,000 GP",GSB,-,Staff of the Ferryman is a legendary magical staff that serves as a weapon or focus and carries one or more powerful magical abilities.
Staff of the Magi (Legendary),Staff,Attunement,"200,000 GP",DMG,Varies,"This +2 quarterstaff grants spell resistance, contains many charges for powerful spells, and can absorb incoming spells to restore charges. Breaking it intentionally releases a devastating retributive strike that may also teleport the wielder."
Staff of the Weaver Arcane (Legendary),Staff,"Yes-Sorcerer, Wizard","200,000 GP",GSB,-,Staff of the Weaver Arcane is a legendary magical staff that serves as a weapon or focus and carries one or more powerful magical abilities.
Starfire Katana (Legendary),Weapon (longsword),Yes,"B+200,000 GP",GSB,Fire + weapon's normal damage,"Starfire Katana is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Starmetal Nova Armor (Legendary),Armor (halfplate),Yes,"B+200,000 GP",GSB,-,"Starmetal Nova Armor is a legendary magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Starmetal Shield (Legendary),Armor (shield),Yes,"B+200,000 GP",GSB,-,"Starmetal Shield is a legendary magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Starmetal Solar Axe (Legendary),Weapon (greataxe),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Starmetal Solar Axe is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Storm Thrower Harpoon (Legendary),Weapon (trident),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Storm Thrower Harpoon is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Sword of Answering (Legendary),Weapon,Attunement,"B+200,000 GP",DMG,Weapon's normal damage,"This +3 longsword is tied to a specific alignment. While attuned by a matching wielder, it can make a special reaction attack against a creature that damages the wielder, with additional benefits on that answering strike."
Sword of Damocles (Legendary),Weapon (longsword),Yes-Lawful,"B+200,000 GP",GSB,Weapon's normal damage,"Sword of Damocles is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Sword of Damocles (Legendary),Weapon (longsword),Yes-Lawful,"B+200,000 GP",GSB,Weapon's normal damage,"Sword of Damocles is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Sword of the Spelldrinker (Legendary),Weapon (longsword),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Sword of the Spelldrinker is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Talisman of Pure Good (Legendary),Wondrous Item,Attunement,"100,000 GP",DMG,Radiant,"A good-aligned divine spellcaster can use this talisman to gain a bonus to spell attack rolls and, a limited number of times, open a fiery fissure beneath an evil creature; an unworthy bearer suffers harmful effects."
Talisman of the Sphere (Legendary),Wondrous Item,Attunement,"200,000 GP",DMG,Force,This talisman improves its wearer's ability to control a sphere of annihilation. A creature that controls a sphere can use the talisman to move it more effectively and can direct it against another creature controlling the same sphere.
Talisman of Ultimate Evil (Legendary),Wondrous Item,Attunement,"100,000 GP",DMG,Necrotic,"An evil-aligned divine spellcaster can use this talisman to gain a bonus to spell attack rolls and, a limited number of times, open a fiery fissure beneath a good creature; an unworthy bearer suffers harmful effects."
Tarrasque Plate (Legendary),Armor (plate),Yes-Paladin,"B+200,000 GP",GSB,-,"Tarrasque Plate is a legendary magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
The Last Standard (Legendary),"Weapon (glaive, halberd, or pike)",Yes,"B+200,000 GP",GSB,Weapon's normal damage,"The Last Standard is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
The Pallid Veil (Legendary),Wondrous Item,"Yes-Cleric, Warlock, or Wizard","200,000 GP",GSB,-,"The Pallid Veil is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
The Timekeeper's Pendulum (Legendary),Weapon (greataxe),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"The Timekeeper's Pendulum is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Thornpiercer (Legendary),"Weapon (dagger, shortsword, rapier, or whip)",Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Thornpiercer is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Tideborn Trident (Legendary),Weapon (trident),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Tideborn Trident is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Tome of Lost Knowledge (Legendary),Wondrous Item,Yes-Wizard,"200,000 GP",GSB,-,"Tome of Lost Knowledge is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Tome of Planar Wonderings and Wanderings (Legendary),Wondrous Item,No,"200,000 GP",GSB,-,Tome of Planar Wonderings and Wanderings is a legendary magical ring that grants a powerful passive benefit or limited supernatural ability while worn.
Tome of the Dragon (Legendary),Wondrous Item,-,"200,000 GP",FRAiF,-,"Tome of the Dragon is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Tome of the Stilled Tongue (Legendary),Wondrous Item,Attunement,"200,000 GP",DMG,-,"This spellbook can serve as a wizard's spellbook and arcane focus. Its attuned owner can use it to cast one written spell without expending a spell slot, after which that property recharges; the book is also connected to Vecna."
Tome of the Unknowable (Legendary),Wondrous item,No,"200,000 GP",GSB,-,"Tome of the Unknowable is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Tyrant's End (Legendary),Weapon (greataxe),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Tyrant's End is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Underworld Asphodel Regalia (Legendary),Wondrous Item,"Yes-Cleric, Wizard","200,000 GP",GSB,-,"Underworld Asphodel Regalia is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Universal Solvent (Legendary),Wondrous Item,-,"100,000 GP",DMG,-,Applying this rare liquid dissolves sovereign glue and can separate objects that were permanently bonded by it. A container holds only a small number of applications.
Violet King's Promise (Legendary),Weapon (rapier),"Yes-Bard, Cleric, Paladin, Ranger","B+200,000 GP",GSB,Weapon's normal damage,"Violet King's Promise is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Visage of Delight and Disaster (Legendary),Wondrous Item,Yes-Cha 17,"200,000 GP",GSB,-,"Visage of Delight and Disaster is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Vorpal Sword (Legendary),Weapon,Attunement,"B+200,000 GP",DMG,Weapon's normal damage,"This +3 slashing weapon ignores resistance to slashing damage. On a natural 20, it can sever the target's head if the creature can survive without one; otherwise it deals a large amount of extra slashing damage."
Wand of the Alicorn (Legendary),Wand,Yes-Good Spellcaster,"200,000 GP",GSB,-,Wand of the Alicorn is a legendary magical wand with charges or limited uses that produce a powerful spell-like or supernatural effect.
Well of Many Worlds (Legendary),Wondrous Item,-,"200,000 GP",DMG,-,"Unfolding and placing this cloth creates a two-way portal to another world or plane selected randomly by the item. Folding the cloth closes the portal, and reopening it later can lead somewhere different."
Windrazor (Legendary),Weapon (longsword),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Windrazor is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Worldbreaker (Legendary),Weapon (maul),Yes-Str 17,"B+200,000 GP",GSB,Weapon's normal damage,"Worldbreaker is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
